source,kind,file,line,category,title,class,distance,note
studies/2026-09-refuting-verifier/acceptance/e2e/raw/A-tests.md,real,tests/Aspire.Cli.EndToEnd.Tests/Helpers/CliE2EAutomatorHelpers.cs,47,tests.flakiness,Other E2E tests in the same project still run plain `aspire run` and r,EXACT,0,
studies/2026-09-refuting-verifier/acceptance/e2e/raw/B-security.md,real,src/routes/internal.js,5,security.authz,The new role-change endpoint has no authentication or admin check of i,EXACT,0,
studies/2026-09-refuting-verifier/acceptance/run2/items/W01.md,curated,test/Nerdbank.GitVersioning.Tests/GitContextTests.cs,81,tests.coverage,the loop that handles chained `~` is never exercised on a success path,EXACT,0,
studies/2026-09-refuting-verifier/acceptance/run2/items/W02.md,curated,test/Libraries/Microsoft.Extensions.AI.OpenAI.Tests/OpenAIHostedFileClientTests.cs,100,tests.coverage,"no test sends `""bytes"": null`, the case the removed workaround existed",EXACT,0,
studies/2026-09-refuting-verifier/acceptance/run2/items/W03.md,curated,tests/Aspire.Cli.EndToEnd.Tests/JsReactTemplateTests.cs,37,tests.flakiness,four more bare `aspire run` sites keep the cold-start flake the PR fix,EXACT,0,
studies/2026-09-refuting-verifier/acceptance/run2/items/W04.md,curated,src/routes/internal.js,5,security.authz,internal role-change endpoint has no authentication; its exposure rest,EXACT,0,
studies/2026-09-refuting-verifier/acceptance/run2/items/W05.md,curated,scripts/validate.sh,568,correctness.logic,"""Dependabot writes them back on its next bump"" is false. A newer npm c",EXACT,0,
studies/2026-09-refuting-verifier/acceptance/run2/items/W06.md,curated,stacks/ai-ml/security.md,25,security.deserialization,The torch.load entry clears a call that an environment variable turns ,EXACT,0,
studies/2026-09-refuting-verifier/acceptance/run2/items/W07.md,curated,stacks/node/security.md,26,security.injection,"The ""program's own configuration"" wording clears configuration written",EXACT,0,
studies/2026-09-refuting-verifier/acceptance/run2/items/W08.md,curated,core/skills/security/SKILL.md,59,security.injection,The self-impact example says command-line injection hurts only the cal,EXACT,0,
studies/2026-09-refuting-verifier/items/V01.md,curated,tests/Aspire.Cli.EndToEnd.Tests/Helpers/CliE2EAutomatorHelpers.cs,49,dry.canonical-reuse,helper hard-codes the env var name instead of the canonical constant,EXACT,0,
studies/2026-09-refuting-verifier/items/V02.md,curated,scripts/validate.sh,588,correctness.logic,the remedy the error prints corrupts the lockfile when run on macOS,EXACT,0,
studies/2026-09-refuting-verifier/items/V03.md,curated,src/NerdBank.GitVersioning/ManagedGit/GitRepository.cs,379,api-contract.behavior,Lookup throws where its contract promises null,EXACT,0,
studies/2026-09-refuting-verifier/items/V04.md,curated,src/Libraries/Microsoft.Extensions.AI.OpenAI/OpenAIHostedFileClient.cs,225,tests.coverage,"the pagination rewrite has no multi-page test, and the harness cannot ",EXACT,0,
studies/2026-09-refuting-verifier/items/V05.md,curated,src/routes/account.js,7,security.authz,role change endpoint has no authentication or authorization,EXACT,0,
studies/2026-09-refuting-verifier/items/V06.md,curated,tests/Aspire.Cli.EndToEnd.Tests/ConfigDiscoveryTests.cs,73,tests.flakiness,two more `aspire run` sites keep the cold-start flake the PR fixes,EXACT,0,
studies/2026-09-refuting-verifier/items/V07.md,curated,eng/packages/General.props,20,ai-antipatterns.needless-dep,the version bump's stated rationale is false; the fix was already in 2,EXACT,0,
studies/2026-09-refuting-verifier/items/V08.md,curated,src/NerdBank.GitVersioning/ManagedGit/GitRepository.cs,377,performance.unbounded-work,ancestor count from input drives an unbounded loop,EXACT,0,
studies/2026-09-refuting-verifier/items/V09.md,curated,stacks/python/security.md,27,security.injection,The argument-array entries clear running a program the attacker names,EXACT,0,
studies/2026-09-refuting-verifier/items/V10.md,curated,src/Libraries/Microsoft.Extensions.AI.OpenAI/OpenAIHostedFileClient.cs,352,correctness.error-path,"the removed workaround also guarded created_at, which upstream did not",EXACT,0,
studies/2026-09-refuting-verifier/items/V11.md,curated,tests/Aspire.Cli.EndToEnd.Tests/BundleSmokeTests.cs,97,tests.flakiness,the ready timeout is applied to `dotnet run` sites where its budget is,EXACT,0,
studies/2026-09-refuting-verifier/items/V12.md,curated,src/app.js,9,security.secrets,debug route returns the whole process environment without authenticati,EXACT,0,
studies/2026-09-refuting-verifier/items/V13.md,curated,src/NerdBank.GitVersioning/ManagedGit/GitRepository.cs,350,correctness.logic,`<tag>~N` fails for annotated tags because the tag is never peeled,EXACT,0,
studies/2026-09-anchor-spike/raw/dogfood-r1-ai-antipatterns.md,real,core/skills/review-pro/SKILL.md,63,ai-antipatterns.ignored-convention,The orchestrator's inline-synthesis step lists every remaining synthes,EXACT,0,
studies/2026-09-anchor-spike/raw/dogfood-r1-ai-antipatterns.md,real,scripts/validate.test.sh,1321,ai-antipatterns.over-engineering,w_tri is a one-line alias for write_stage_skill with no argument added,EXACT,0,
studies/2026-09-anchor-spike/raw/dogfood-r1-ai-antipatterns.md,real,studies/2026-09-coverage-spike/analyze.py,79,ai-antipatterns.over-engineering,non_studies is computed and never used,EXACT,0,
studies/2026-09-anchor-spike/raw/dogfood-r1-api-contract.md,real,core/skills/review-pro-synthesize/SKILL.md,59,api-contract.breaking,A version-skewed install with 1.4.0 reviewer agents reports every revi,EXACT,0,
studies/2026-09-anchor-spike/raw/dogfood-r1-api-contract.md,real,README.md,99,api-contract.schema,The published example's coverage detail line names 2 receivers for a f,EXACT,0,
studies/2026-09-anchor-spike/raw/dogfood-r1-api-contract.md,real,docs-src/i18n/en.json,96,api-contract.schema,"The docs site's copy of the ""runs the whole pipeline"" sentence was not",EXACT,0,
studies/2026-09-anchor-spike/raw/dogfood-r1-correctness.md,real,scripts/validate.sh,268,correctness.logic,cov_pin skips every pin when the ## Coverage section is present but em,EXACT,0,
studies/2026-09-anchor-spike/raw/dogfood-r1-correctness.md,real,scripts/validate.sh,35,correctness.logic,check_header_order turns itself off silently when the orchestrator's #,EXACT,0,
studies/2026-09-anchor-spike/raw/dogfood-r1-correctness.md,real,core/skills/review-pro-synthesize/SKILL.md,54,correctness.logic,The ordered state table marks a file in both of one reviewer's lists a,EXACT,0,
studies/2026-09-anchor-spike/raw/dogfood-r1-correctness.md,real,core/skills/review-pro/SKILL.md,63,correctness.side-effect,The orchestrator's inline synthesis step lists the remaining synthesis,EXACT,0,
studies/2026-09-anchor-spike/raw/dogfood-r1-correctness.md,real,studies/2026-09-coverage-spike/analyze.py,46,correctness.logic,Substring path matching marks root README.md as in view whenever a com,EXACT,0,
studies/2026-09-anchor-spike/raw/dogfood-r1-craft.md,real,scripts/validate.sh,36,craft.code-judo,"three hand-rolled awk section extractors, one with a hard-coded list o",NOWHERE,,
studies/2026-09-anchor-spike/raw/dogfood-r1-craft.md,real,scripts/validate.test.sh,1321,craft.abstraction,w_tri is a pass-through wrapper around a writer the line above already,NOWHERE,,
studies/2026-09-anchor-spike/raw/dogfood-r1-dry.md,real,scripts/validate.sh,142,dry.canonical-helper,The coverage guard adds a fourth body loop instead of extending the SC,EXACT,0,
studies/2026-09-anchor-spike/raw/dogfood-r1-dry.md,real,core/skills/review-pro/SKILL.md,74,dry.duplication,The orchestrator's report template copies the coverage line from synth,EXACT,0,
studies/2026-09-anchor-spike/raw/dogfood-r1-dry.md,real,core/skills/review-pro/SKILL.md,37,dry.duplication,The inline path re-states the Files examined block and its rules that ,EXACT,0,
studies/2026-09-anchor-spike/raw/dogfood-r1-dry.md,real,scripts/validate.sh,265,dry.missing-abstraction,The same awk section-extraction idiom is written three times in this d,NOWHERE,,
studies/2026-09-anchor-spike/raw/dogfood-r1-dry.md,real,scripts/validate.test.sh,1318,dry.copy-paste,"The header-order swap sed is pasted twice, w_tri wraps nothing, and Ca",EXACT,0,
studies/2026-09-anchor-spike/raw/dogfood-r1-spec.md,real,core/skills/review-pro/SKILL.md,0,spec.missing,absent - the sent-to-no-reviewer caveat never prints when triage dispa,EXEMPT,,
studies/2026-09-anchor-spike/raw/dogfood-r1-spec.md,real,core/skills/review-pro/SKILL.md,0,spec.missing,"partial - inline synthesis (step 5, line 63) lists the synthesis steps",EXEMPT,,
studies/2026-09-anchor-spike/raw/dogfood-r1-tests.md,real,scripts/validate.sh,268,tests.assertion,the seven ## Coverage pins pass silently when the section heading stay,EXACT,0,
studies/2026-09-anchor-spike/raw/dogfood-r1-tests.md,real,scripts/validate.sh,273,tests.test-data,the sent-to-no-reviewer caveat pin is satisfied by the state table and,EXACT,0,
studies/2026-09-anchor-spike/raw/dogfood-r1-tests.md,real,scripts/validate.sh,35,tests.coverage,check_header_order silently skips the orchestrator when its `## Output,EXACT,0,
studies/2026-09-anchor-spike/raw/dogfood-r1-tests.md,real,scripts/validate.test.sh,1316,tests.assertion,"the orchestrator inline-block mutation removes both conjuncts at once,",EXACT,0,
studies/2026-09-anchor-spike/raw/dogfood-r1-tests.md,real,scripts/validate.sh,41,tests.coverage,the header-order check passes vacuously when the Spec or Verification ,EXACT,0,
studies/2026-09-anchor-spike/raw/dogfood-r1-tests.md,real,scripts/validate.test.sh,232,tests.test-data,"fixture Output templates omit the `## Verdict:` and `## Spec (` lines,",EXACT,0,
studies/2026-09-anchor-spike/raw/dogfood-r2-api-contract.md,real,README.md,99,api-contract.schema,"README example lists five receivers for the fixture, but the reviewer ",EXACT,0,
studies/2026-09-anchor-spike/raw/dogfood-r2-api-contract.md,real,docs-src/i18n/de.json,96,api-contract.schema,"German docs.run.final uses ""Prüfer"" for both the independent verifier ",EXACT,0,
studies/2026-09-anchor-spike/raw/dogfood-r2-correctness.md,real,core/skills/review-pro/SKILL.md,35,correctness.logic,The step-3 reminder gives stale agents the block's format but not its ,EXACT,0,
studies/2026-09-anchor-spike/raw/dogfood-r2-correctness.md,real,README.md,99,correctness.logic,The example's not-examined line still leaves out receivers that the ex,EXACT,0,
studies/2026-09-anchor-spike/raw/dogfood-r2-tests.md,real,scripts/validate.sh,287,tests.assertion,"M2 moved, not removed. The 'nothing reviewed them' pin matches two lin",EXACT,0,
studies/2026-09-anchor-spike/raw/dogfood-r2-tests.md,real,scripts/validate.sh,296,tests.coverage,M3 moved. A `## Output` heading that section() can't see (unbalanced f,EXACT,0,
studies/2026-09-anchor-spike/raw/dogfood-r2-tests.md,real,scripts/validate.sh,239,tests.assertion,M4 moved. The inline-block 'exactly once' check and the `examined: [` ,EXACT,0,
studies/2026-09-anchor-spike/raw/dogfood-r2-tests.md,real,scripts/validate.sh,130,tests.coverage,"has_block_keys has 2 of its 3 conditions untested, and the `file` key ",EXACT,0,
studies/2026-09-anchor-spike/raw/dogfood-r3-tests.md,real,scripts/validate.test.sh,1362,tests.coverage,"the honesty-rule mutation removes both phrases at once, so neither hal",EXACT,0,
studies/2026-09-anchor-spike/raw/dogfood-r3-tests.md,real,scripts/validate.test.sh,1327,tests.coverage,"the caveat-rule mutation deletes the whole line, so the `on every diff",EXACT,0,
studies/2026-09-anchor-spike/raw/dogfood-r3-tests.md,real,scripts/validate.sh,264,tests.coverage,the reminder check protects the honesty rule but not the format or the,EXACT,0,
studies/2026-09-anchor-spike/raw/dogfood-r3-tests.md,real,core/skills/review-pro/SKILL.md,48,tests.coverage,"the inline path's honesty rule has no guard, although its twin in the ",EXACT,0,
